
capacity	voltage
2203.6185	3.8164
2205.7313	3.8161
2207.7541	3.8158
2209.9568	3.8155
2211.9795	3.8152
2214.2697	3.8148
2216.2951	3.8146
2218.4079	3.8143
2220.5207	3.8140
2222.6335	3.8137
2224.7462	3.8134
2226.7682	3.8132
2228.9718	3.8129
2231.1725	3.8125
2233.1063	3.8122
2235.3101	3.8119
2237.5111	3.8116
2239.5356	3.8112
2241.7368	3.8109
2243.7612	3.8108
2245.7824	3.8105
2248.0754	3.8100
2250.0995	3.8099
2252.2122	3.8096
2254.3250	3.8094
2256.4378	3.8091
2258.6396	3.8087
2260.7525	3.8083
2262.6839	3.8082
2264.8888	3.8079
2267.1834	3.8074
2269.1144	3.8073
2271.3167	3.8071
2273.3399	3.8067
2275.5424	3.8062
2277.6553	3.8061
2279.6782	3.8058
2281.8810	3.8054
2283.8107	3.8053
2285.9234	3.8050
2288.1293	3.8045
2290.2421	3.8042
2292.2614	3.8041
2294.5581	3.8038
2296.4868	3.8036
2298.6932	3.8033
2300.8059	3.8030
2302.8248	3.8029
2305.1224	3.8024
2307.1442	3.8022
2309.3481	3.8019
2311.3698	3.8016
2313.5738	3.8012
2315.5953	3.8010
2317.7995	3.8006
2319.9124	3.8004
2321.9336	3.8001
2324.1381	3.7998
2326.1592	3.7995
2328.3638	3.7992
2330.4766	3.7989
2332.5895	3.7987
2334.5151	3.7986
2336.7230	3.7983
2338.9280	3.7978
2340.9485	3.7977
2343.0613	3.7975
2345.2666	3.7971
2347.2869	3.7967
2349.3996	3.7966
2351.5124	3.7963
2353.5292	3.7961
2355.6419	3.7958
2357.7546	3.7954
2359.9635	3.7952
2361.9800	3.7949
2364.1890	3.7946
2366.3951	3.7943
2368.4145	3.7940
2370.5273	3.7939
2372.5434	3.7937
2374.8465	3.7934
2376.9594	3.7931
2378.9784	3.7928
2381.1851	3.7925
2383.1068	3.7923
2385.4108	3.7920
2387.4295	3.7919
2389.5422	3.7916
2391.7493	3.7911
2393.8622	3.7910
2395.8806	3.7908
2397.8956	3.7906
2400.0083	3.7903
2402.1210	3.7900
2404.4265	3.7894
2406.4444	3.7893
2408.4590	3.7891
2410.5717	3.7890
2412.6844	3.7887
2414.9907	3.7884
2417.0082	3.7881
2419.1210	3.7879
2421.2338	3.7876
2423.3466	3.7874
2425.4593	3.7871
2427.5721	3.7868
2429.5858	3.7867
2431.7976	3.7864
2433.9104	3.7861
2436.1193	3.7858
2438.0366	3.7856
2440.2487	3.7853
2442.2619	3.7852
2444.4742	3.7848
2446.3876	3.7847
2448.6998	3.7844
2450.8126	3.7839
2453.0221	3.7836
2455.0381	3.7835
2457.0507	3.7833
2459.3606	3.7830
2461.3764	3.7827
2463.4892	3.7827
2465.6992	3.7823
2467.7147	3.7821
2469.8275	3.7818
2472.0378	3.7816
2474.0530	3.7813
2476.1658	3.7812
2478.3763	3.7809
2480.4892	3.7806
2482.5041	3.7804
2484.5156	3.7803
2486.8277	3.7798
2488.8424	3.7798
2490.9552	3.7795
2493.0679	3.7792
2495.1807	3.7790
2497.2935	3.7787
2499.4063	3.7786
2501.6177	3.7781
2503.6318	3.7780
2505.8434	3.7777
2507.8573	3.7774
2509.9701	3.7772
2511.9805	3.7771
2514.1956	3.7768
2516.2059	3.7766
2518.4212	3.7763
2520.6334	3.7760
2522.6467	3.7758
2524.7595	3.7755
2526.9719	3.7754
2528.9850	3.7751
2531.0978	3.7749
2533.2106	3.7746
2535.3233	3.7745
2537.4361	3.7742
2539.4454	3.7740
2541.7619	3.7737
2543.6707	3.7736
2545.7834	3.7733
2548.0000	3.7729
2550.2133	3.7726
2552.2255	3.7723
2554.2342	3.7722
2556.4510	3.7720
2558.6647	3.7717
2560.6766	3.7716
2562.6849	3.7714
2564.7976	3.7711
2567.0149	3.7708
2569.1276	3.7707
2571.1356	3.7705
2573.3532	3.7700
2575.3610	3.7699
2577.4737	3.7699
2579.6915	3.7694
2581.6990	3.7693
2583.9170	3.7691
2585.9244	3.7690
2588.0371	3.7687
2590.1498	3.7685
2592.3681	3.7682
2594.3751	3.7681
2596.4878	3.7679
2598.8089	3.7675
2600.8192	3.7673
2602.8259	3.7673
2604.9386	3.7668
2607.0512	3.7667
2609.2703	3.7664
2611.2766	3.7662
2613.3893	3.7661
2615.6086	3.7656
2617.7213	3.7655
2619.7273	3.7653
2621.8400	3.7652
2623.9527	3.7649
2626.1724	3.7647
2628.3889	3.7644
2630.5017	3.7642
2632.5107	3.7641
2634.6235	3.7638
2636.8403	3.7636
2638.7415	3.7635
2640.8542	3.7632
2642.9669	3.7630
2645.2917	3.7627
2647.1922	3.7627
2649.3049	3.7626
2651.5257	3.7623
2653.5303	3.7621
2655.7512	3.7618
2657.9688	3.7615
2659.9767	3.7612
2662.0895	3.7610
2664.2023	3.7609
2666.4202	3.7606
2668.5331	3.7603
2670.5406	3.7601
2672.6533	3.7600
2674.7661	3.7597
2676.8789	3.7595
2679.0973	3.7592
2680.9952	3.7591
2683.1078	3.7589
2685.2205	3.7588
2687.4427	3.7583
2689.4459	3.7583
2691.6683	3.7580
2693.5615	3.7580
2695.8938	3.7577
2697.8966	3.7575
2700.1194	3.7572
2702.1220	3.7571
2704.2347	3.7569
2706.4577	3.7566
2708.5704	3.7565
2710.5727	3.7562
2712.9030	3.7560
2715.0158	3.7556
2717.0215	3.7554
2719.0235	3.7554
2721.2470	3.7549
2723.2488	3.7548
2725.4726	3.7546
2727.5854	3.7545
2729.6981	3.7542
2731.6996	3.7540
2733.8122	3.7539
2735.9249	3.7537
2738.1492	3.7534
2740.1503	3.7533
2742.2630	3.7531
2744.4875	3.7528
2746.6003	3.7527
2748.7130	3.7523
2750.8258	3.7522
2752.8264	3.7520
2754.9391	3.7519
2757.1641	3.7516
2759.1644	3.7516
2761.3897	3.7513
2763.3898	3.7511
2765.5025	3.7508
2767.7280	3.7507
