Capacity (mAh), Voltage (V)
0.316404806, 4.361503795
0.316735361, 4.361111505
0.317065917, 4.361001823
0.317528694, 4.36056566
0.317925361, 4.360565217
0.318255917, 4.360282609
0.318652583, 4.360282609
0.318983139, 4.360235233
0.319379806, 4.359821006
0.319776472, 4.359689388
0.320107028, 4.359297098
0.320503694, 4.359282609
0.32083425, 4.359282609
0.321164806, 4.359
0.321561472, 4.358894208
0.321892028, 4.358784526
0.322288694, 4.358370299
0.32261925, 4.358260616
0.323015917, 4.35784638
0.323346472, 4.357736691
0.323743139, 4.357605065
0.324073694, 4.357282609
0.324470361, 4.357282609
0.324800847, 4.357282609
0.325197431, 4.35699205
0.325594097, 4.356860432
0.325924653, 4.356468142
0.326321319, 4.356336524
0.326717986, 4.355906756
0.327048542, 4.355775137
0.327445208, 4.355334587
0.327775764, 4.355565217
0.328172431, 4.355282609
0.328569097, 4.355
0.328899653, 4.354995497
0.329296319, 4.354863879
0.329626875, 4.354471589
0.330023542, 4.35433997
0.330354097, 4.354230289
0.330750764, 4.353816062
0.331081319, 4.35370638
0.331477986, 4.353292153
0.331874653, 4.353282609
0.332205208, 4.353282609
0.332601875, 4.353
0.332932361, 4.352671488
0.333262847, 4.352539889
0.333659514, 4.352381937
0.333990069, 4.352
0.334386736, 4.352
0.334717292, 4.351717391
0.335113958, 4.351717391
0.335510625, 4.351620696
0.335841181, 4.351228405
0.336237847, 4.351096787
0.336634514, 4.350965169
0.336965069, 4.350855487
0.337295625, 4.350463197
0.337692292, 4.350331578
0.338022847, 4.349927145
0.338419514, 4.349769203
0.338816181, 4.349328653
0.339146736, 4.349282609
0.339477292, 4.349282609
0.339873958, 4.349
0.340270625, 4.348988663
0.340601181, 4.348574436
0.340997847, 4.348416494
0.341328403, 4.348002267
0.341725069, 4.347717391
0.342055625, 4.347717391
0.342452292, 4.347717391
0.342782847, 4.347671463
0.343179514, 4.347257236
0.343576181, 4.347125618
0.343906736, 4.346733328
0.344303403, 4.346601709
0.344633958, 4.346492027
0.345030625, 4.3460778
0.345427292, 4.345946182
0.345625625, 4.345597764
0.345757847, 4.3458365
0.346154514, 4.345422273
0.346485069, 4.345312592
0.346881736, 4.345
0.347212292, 4.345
0.347608958, 4.344717391
0.347939514, 4.34469599
0.348336181, 4.344538047
0.348666736, 4.344406429
0.349063403, 4.344
0.349393958, 4.344
0.349790625, 4.343717391
0.350187292, 4.343717391
0.350517847, 4.343358531
0.350914514, 4.343226912
0.351245069, 4.342834622
0.351641736, 4.34242245
0.351972292, 4.342328437
0.352368958, 4.342215622
0.352765625, 4.342102806
0.353096181, 4.341726184
0.353492847, 4.34157176
0.353889514, 4.341131209
0.354220069, 4.341
0.354616736, 4.341
0.354947292, 4.341
0.355343958, 4.340717391
0.355674514, 4.340659597
0.356071181, 4.340219036
0.356467847, 4.340061085
0.356798403, 4.339941215
0.357195069, 4.33952698
0.357591736, 4.339395353
0.357922292, 4.339285664
0.358318958, 4.339
0.358715625, 4.338717391
0.359046181, 4.338717391
0.359442847, 4.338637353
0.359839514, 4.338196802
0.360170069, 4.338065184
0.360566736, 4.337640093
0.360897292, 4.337247803
0.361293958, 4.337116185
0.361624514, 4.337006502
0.362021181, 4.336874884
0.362351736, 4.336765202
0.362748403, 4.336350975
0.363145069, 4.336
0.363475625, 4.336
0.363872292, 4.336
0.364268958, 4.336
0.364401181, 4.335717391
0.364665625, 4.335717391
0.364996181, 4.335717391
0.365392847, 4.335422796
0.365789514, 4.335291178
0.366186097, 4.335159587
0.366516583, 4.33476732
0.36691325, 4.334647371
0.367309917, 4.334251947
0.367640472, 4.334157934
0.368037139, 4.33376251
0.368433806, 4.333622615
0.368764361, 4.333208388
0.369161028, 4.332767837
0.369557694, 4.332717391
0.369954361, 4.332717391
0.370284917, 4.332434783
0.370681583, 4.332407067
0.37107825, 4.332275449
0.371408806, 4.331883158
0.371805472, 4.33175154
0.372202139, 4.331600428
0.372532694, 4.331186201
0.372929361, 4.331028259
0.373326028, 4.331
0.373722694, 4.330717391
0.37405325, 4.330717391
0.374449917, 4.330379337
0.374846583, 4.329938787
0.37524325, 4.329780845
0.375573806, 4.329660587
0.376036583, 4.329507033
0.37643325, 4.329092805
0.376829917, 4.329
0.377160472, 4.328717391
0.377557139, 4.328717391
0.377953806, 4.328667979
0.378284361, 4.328275689
0.378681028, 4.32814407
0.379143806, 4.327717391
0.379540472, 4.327717391
0.379937139, 4.327717391
0.380267694, 4.327414675
0.380664361, 4.327283048
0.381061028, 4.326868812
0.381391583, 4.326759124
0.38178825, 4.326627503
0.382118806, 4.326235212
0.382515472, 4.326103594
0.382779917, 4.32573324
0.382912139, 4.325717391
0.383308722, 4.325717391
0.383639208, 4.325717391
0.383969764, 4.325418146
0.384366347, 4.325286555
0.384762931, 4.325154965
0.385159597, 4.324740738
0.385490153, 4.324613789
0.385886819, 4.324173239
0.386283486, 4.324015297
0.386614042, 4.323634304
0.387010708, 4.323521489
0.387407375, 4.323126064
0.387804042, 4.323013249
0.388134597, 4.323
0.388531264, 4.322717391
0.388927931, 4.322717391
0.389258486, 4.32268503
0.389655153, 4.322270804
